lineId,shortName,description,year,month,averageSpeedKmh,totalDistanceMeters,totalTimeSeconds,samples,status
-1,TESTGT1,NA,2018,5,0.00,0.00,0.00,0,NO_DATA
8,TESTGT2,NA,2018,5,0.00,0.00,0.00,0,NO_DATA
131,T31,Terminal Paso del Comercio - Universidades,2018,5,17.87,3993573.00,804353.00,33682,OK
140,T40,Terminal Andrés Sanín - Centro,2018,5,17.88,2219643.00,446802.00,18715,OK
142,T42,Pizamos - Centro - Terminal,2018,5,17.05,2955101.00,623778.00,29173,OK
150,T50,Estación Nuevo Latír - Centro,2018,5,14.24,1137965.00,287747.00,11209,OK
217,P17,P.U.J - Icesi - Estación Unidad Deportiva,2018,5,18.21,845116.00,167036.00,6384,OK
243,TESTGT3,NA,2018,5,0.00,0.00,0.00,0,NO_DATA
251,P51,Pízamos - Universidades,2018,5,0.00,0.00,0.00,0,NO_DATA
271,P71,Caney - Estación Unidad Deportiva,2018,5,10.93,809153.00,266520.00,12885,OK
272,P72,Estación Capri- Centro Empresa,2018,5,13.86,2153647.00,559370.00,27875,OK
282,P82,Terminal Calipso - Terminal Menga,2018,5,10.12,995819.00,354123.00,14168,OK
283,P83,Terminal Calipso - Terminal Paso de Comercio,2018,5,15.19,401273.00,95111.00,4382,OK
302,A02,Atenas - Zoológico - Estación San Bosco,2018,5,14.25,665138.00,168024.00,10943,OK
303,A03,Nacional - Santa librada,2018,5,11.27,128362.00,41003.00,2060,OK
304,A04,Bella Vista - Estación Manzana del saber,2018,5,12.68,393032.00,111579.00,5733,OK
305,A05,Av. De Las Américas - C.A.M - La Portada,2018,5,14.37,541324.00,135594.00,6677,OK
306,A06,Aguacatal - Estación San Bosco,2018,5,13.27,825026.00,223747.00,15300,OK
311,A11,Icesi - P.U.J - Estación Universidades,2018,5,10.89,909043.00,300634.00,14050,OK
318,A18,Hacienda El Castillo - Estación Universidades,2018,5,23.23,546536.00,84709.00,3388,OK
321,A21,Ciudadela Floralia - Terminal Menga,2018,5,13.03,420581.00,116215.00,5277,OK
322,A22,Brisas de los Áamos- Terminal Menga,2018,5,7.78,349847.00,161903.00,3915,OK
323,A23,Ciudadela Los Álamos-Terminal Menga,2018,5,10.74,160530.00,53821.00,2626,OK
324,A24,San Miguel - El Bosque - Estación Vipasa,2018,5,12.22,19844.00,5844.00,352,OK
