lineId,shortName,description,year,month,averageSpeedKmh,totalDistanceMeters,totalTimeSeconds,samples,status
-1,TESTGT1,NA,2018,5,0.00,0.00,0.00,0,NO_DATA
8,TESTGT2,NA,2018,5,0.00,0.00,0.00,0,NO_DATA
131,T31,Terminal Paso del Comercio - Universidades,2018,5,17.86,3990106.00,804453.00,33682,OK
140,T40,Terminal Andrés Sanín - Centro,2018,5,17.90,2222467.00,446943.00,18720,OK
142,T42,Pizamos - Centro - Terminal,2018,5,17.03,2951641.00,624013.00,29168,OK
150,T50,Estación Nuevo Latír - Centro,2018,5,14.18,1133722.00,287879.00,11217,OK
217,P17,P.U.J - Icesi - Estación Unidad Deportiva,2018,5,18.20,844679.00,167125.00,6389,OK
243,TESTGT3,NA,2018,5,0.00,0.00,0.00,0,NO_DATA
251,P51,Pízamos - Universidades,2018,5,0.00,0.00,0.00,0,NO_DATA
271,P71,Caney - Estación Unidad Deportiva,2018,5,10.93,808679.00,266462.00,12889,OK
272,P72,Estación Capri- Centro Empresa,2018,5,13.83,2148476.00,559382.00,27866,OK
282,P82,Terminal Calipso - Terminal Menga,2018,5,10.13,996822.00,354309.00,14177,OK
283,P83,Terminal Calipso - Terminal Paso de Comercio,2018,5,15.18,401092.00,95091.00,4380,OK
302,A02,Atenas - Zoológico - Estación San Bosco,2018,5,14.23,664716.00,168141.00,10938,OK
303,A03,Nacional - Santa librada,2018,5,10.83,128407.00,42669.00,2060,OK
304,A04,Bella Vista - Estación Manzana del saber,2018,5,12.97,391951.00,108752.00,5722,OK
305,A05,Av. De Las Américas - C.A.M - La Portada,2018,5,14.36,540859.00,135579.00,6677,OK
306,A06,Aguacatal - Estación San Bosco,2018,5,13.26,824347.00,223763.00,15295,OK
311,A11,Icesi - P.U.J - Estación Universidades,2018,5,10.88,908802.00,300587.00,14051,OK
318,A18,Hacienda El Castillo - Estación Universidades,2018,5,23.27,546386.00,84520.00,3386,OK
321,A21,Ciudadela Floralia - Terminal Menga,2018,5,13.02,420255.00,116171.00,5275,OK
322,A22,Brisas de los Áamos- Terminal Menga,2018,5,7.77,349624.00,161971.00,3911,OK
323,A23,Ciudadela Los Álamos-Terminal Menga,2018,5,10.74,160648.00,53859.00,2628,OK
324,A24,San Miguel - El Bosque - Estación Vipasa,2018,5,12.21,19829.00,5846.00,352,OK
